sr_no,name,country,role,auction_status,base_price,final_price,sold_to,year
27,Rohan Kunnummal,India,Batter,UNSOLD,2000000,0,,2023
60,Dawid Malan,England,Batter,UNSOLD,15000000,0,,2023
151,Ekant Sen,India,Batter,UNSOLD,2000000,0,,2023
76,Will Smeed,England,Batter,UNSOLD,2000000,0,,2023
31,Priyam Garg,India,Batter,UNSOLD,2000000,0,,2023
24,LR Chethan,India,Batter,UNSOLD,2000000,0,,2023
135,Rassie van der Dussen,South Africa,Batter,UNSOLD,20000000,0,,2023
109,Priyank Panchal,India,Batter,UNSOLD,2000000,0,,2023
110,Sanjay Raghunath,India,Batter,UNSOLD,2000000,0,,2023
29,Himmat Singh,India,Batter,UNSOLD,2000000,0,,2023
26,Shubham Khajuria,India,Batter,UNSOLD,2000000,0,,2023
75,Harpreet Singh Bhatia,India,Batter,SOLD,2000000,4000000,PBKS,2023
8,Philip Salt,England,Batter,SOLD,20000000,20000000,DC,2023
23,Kane Williamson,New Zealand,Batter,SOLD,20000000,20000000,GT,2023
56,Manish Pandey,India,Batter,SOLD,10000000,24000000,DC,2023
1,Harry Brook,England,Batter,SOLD,15000000,132500000,SRH,2023
134,Mandeep Singh,India,Batter,SOLD,5000000,5000000,KKR,2023
22,Ajinkya Rahane,India,Batter,SOLD,5000000,5000000,CSK,2023
28,Shaik Rasheed,India,Batter,SOLD,2000000,2000000,CSK,2023
130,Anmolpreet Singh,India,Batter,SOLD,2000000,2000000,SRH,2023
148,Joe Root,England,Batter,SOLD,10000000,10000000,RR,2023
126,Rilee Rossouw,South Africa,Batter,SOLD,20000000,46000000,DC,2023
21,Mayank Agarwal,India,Batter,SOLD,10000000,82500000,SRH,2023
50,Chintal Gandhi,India,Bowler,UNSOLD,2000000,0,,2023
68,Sandeep Sharma,India,Bowler,UNSOLD,5000000,0,,2023
69,Taskin Ahmed,Bangladesh,Bowler,UNSOLD,5000000,0,,2023
94,Richard Gleeson,England,Bowler,UNSOLD,5000000,0,,2023
52,Shreyas Gopal,India,Bowler,UNSOLD,2000000,0,,2023
141,Dilshan Madushanka,Sri Lanka,Bowler,UNSOLD,5000000,0,,2023
67,Riley Meredith,Australia,Bowler,UNSOLD,15000000,0,,2023
118,Trilok Nag,India,Bowler,UNSOLD,2000000,0,,2023
142,Luke Wood,England,Bowler,UNSOLD,10000000,0,,2023
11,Adam Milne,New Zealand,Bowler,UNSOLD,20000000,0,,2023
45,Mujtaba Yousuf,India,Bowler,UNSOLD,2000000,0,,2023
14,Tabraiz Shamsi,South Africa,Bowler,UNSOLD,10000000,0,,2023
9,Chris Jordan,England,Bowler,UNSOLD,20000000,0,,2023
117,Shubham Kapse,India,Bowler,UNSOLD,2000000,0,,2023
15,Mujeeb Ur Rahman,Afghanistan,Bowler,UNSOLD,10000000,0,,2023
70,Dushmantha Chameera,Sri Lanka,Bowler,UNSOLD,5000000,0,,2023
90,Tejas Baroka,India,Bowler,UNSOLD,2000000,0,,2023
51,Izharulhaq Naveed,Afghanistan,Bowler,UNSOLD,2000000,0,,2023
53,Sudhesan Midhun,India,Bowler,UNSOLD,2000000,0,,2023
46,Lance Morris,Australia,Bowler,UNSOLD,3000000,0,,2023
71,Blessing Muzarabani,Zimbabwe,Bowler,UNSOLD,5000000,0,,2023
89,Paul van Meekeren,Netherlands,Bowler,UNSOLD,2000000,0,,2023
139,Akash Singh,India,Bowler,UNSOLD,2000000,0,,2023
91,Yuvraj Chudasama,India,Bowler,UNSOLD,2000000,0,,2023
13,Adil Rashid,England,Bowler,SOLD,20000000,20000000,SRH,2023
95,Joshua Little,Ireland,Bowler,SOLD,5000000,44000000,GT,2023
