player_name,bid_no,team,bid_amount,status,year
Aaron Hardie,1,PBKS,12500000,SOLD,2025
Abdul Basith,1,Rajasthan Royals,2000000,SOLD,2023
Abdul Samad,1,LSG,3000000,,2025
Abdul Samad,3,LSG,38000000,,2025
Abdul Samad,5,LSG,42000000,,2025
Abdul Samad,2,PBKS,36000000,,2025
Abdul Samad,4,PBKS,40000000,,2025
Abdul Samad,6,SRH,20202000000,,2025
Abdul Samad,7,SRH,20212000000,,2025
Abdul Samad,8,SRH,2.0224E+11,,2025
Abdul Samad,9,SRH,2.0234E+11,,2025
Abdul Samad,10,SRH,2.0244E+11,SOLD,2025
Abhinandan Singh,1,RCB,3000000,SOLD,2025
Abhinav Manohar,2,CSK,26000000,,2025
Abhinav Manohar,6,GT,2.02226E+11,,2025
Abhinav Manohar,7,GT,2.02326E+11,,2025
Abhinav Manohar,8,GT,2.02426E+11,SOLD,2025
Abhinav Manohar,4,KKR,30000000,,2025
Abhinav Manohar,1,SRH,3000000,,2025
Abhinav Manohar,3,SRH,28000000,,2025
Abhinav Manohar,5,SRH,32000000,,2025
Abid Mushtaq,1,RR,2000000,SOLD,2024
Adam Zampa,4,RCB,2.02015E+11,,2025
Adam Zampa,5,RCB,2.02115E+11,SOLD,2025
Adam Zampa,2,RR,22000000,,2025
Adam Zampa,1,SRH,20000000,,2025
Adam Zampa,3,SRH,24000000,,2025
Adam Zampa,1,Rajasthan Royals,15000000,SOLD,2023
Adil Rashid,1,Sunrisers Hyderabad,20000000,SOLD,2023
Aiden Markram,1,LSG,20000000,,2025
Aiden Markram,2,SRH,2.02226E+11,,2025
Aiden Markram,3,SRH,2.02326E+11,,2025
Aiden Markram,4,SRH,2.02426E+11,SOLD,2025
Ajay Jadav Mandal,1,DC,3000000,SOLD,2025
Ajay Jadav Mandal,1,Chennai Super Kings,2000000,SOLD,2023
Ajinkya Rahane,2,CSK,20235000000,,2025
Ajinkya Rahane,3,CSK,20245000000,,2025
Ajinkya Rahane,8,DC,2.0204E+11,,2025
Ajinkya Rahane,9,DC,2.0214E+11,SOLD,2025
