comp_id,season,name,match_type
3119,2025,Andhra Premier League 2025,Other t20
2496,2024,Andhra T20 League 2024,Other t20
1797,2023,Antigua T20 2023,Other t20
3189,2025,Arunachal T20 Championship 2025,Other t20
2413,2024,Assam Premier T20 Championship 2024,Other t20
1770,2023,Assam T20 2023,Other t20
2650,2024,Assam T20 Pride Cup 2024,Other t20
3035,2025,Baroda Premier League 2025,Other t20
2484,2024,Bengal Men T20 Series 2024,Other t20
3021,2025,Bengal Men T20 Series 2025,Other t20
2890,2025,Breakout T20 League 2025,Other t20
1449,2022,Bukhatir League T20 2022,Other t20
3186,2025,Chandigarh Premier League 2025,Other t20
2493,2024,Chhattisgarh Premier League 2024,Other t20
3010,2025,Chhattisgarh Premier League 2025,Other t20
2955,2025,Chhattisgarh Senior Elite Group T20 Tournament 2025,Other t20
3029,2025,Chiripal T20 Premier League 2025,Other t20
1760,2023,DY Patil T20 Cup 2023,Other t20
2304,2024,DY Patil T20 Cup 2024,Other t20
2839,2025,DY Patil T20 Cup 2025,Other t20
2588,2024,Delhi Mens Premier League 2024,Other t20
3089,2025,Delhi Mens Premier League 2025,Other t20
1460,2022,Emirates D20 2022,Other t20
2705,2024,Emirates D20 Series 2024,Other t20
1950,2023,Global T20 Canada 2023,Other t20
2820,2025,Guwahati T20 League 2025,Other t20
2470,2024,ICC Mens T20 World Cup Warm up Matches 2024,Other t20
2677,2024,ILT20 Development Series 2024,Other t20
1676,2023,International League T20 2023,Other t20
2430,2024,KCA State T20 League (Nsk Trophy) 2024,Other t20
1794,2023,KCA State T20 League 2023,Other t20
2537,2024,KL T20 Bash 2024,Other t20
2491,2024,Kabul Premier League 2024,Other t20
2601,2024,Kerala T20 Cricket League 2024,Other t20
3094,2025,Kerala T20 Cricket League 2025,Other t20
2687,2024,MCA T20 Super Series 2024,Other t20
2511,2024,MCA T20 Super Series 2024 (Phase - I),Other t20
1771,2023,MLC Champions Open T20 Series 2023,Other t20
3036,2025,Madhya Pradesh Men T20 League 2025,Other t20
2495,2024,Madhya Pradesh T20 League 2024,Other t20
3212,2025,Maharaja Ranjit singh T20 Trophy 2025,Other t20
1538,2022,Maharaja T20 Trophy 2022,Other t20
1991,2023,Maharaja T20 Trophy 2023,Other t20
2567,2024,Maharaja T20 Trophy 2024,Other t20
3118,2025,Maharaja T20 Trophy 2025,Other t20
2678,2024,Maharashtra Champions Trophy T20 Series (Pune Olympia T20 Trophy) 2024,Other t20
1909,2023,Maharashtra Premier League T20 2023,Other t20
2479,2024,Maharashtra Premier League T20 2024,Other t20
3000,2025,Maharashtra Premier League T20 2025,Other t20
1948,2023,Major League Cricket 2023,Other t20
2449,2024,Major League Cricket 2024,Other t20
1475,2022,Minor League Cricket 2022,Other t20
3002,2025,Mumbai T20 League 2025,Other t20
2644,2024,NPL Men T20 Blast 2024,Other t20
2844,2025,Navi Mumbai T20 2025,Other t20
2741,2024,Nepal Premier League 2024,Other t20
3255,2025,Nepal Premier League 2025,Other t20
2535,2024,Odisha Cricket T20 League 2024,Other t20
3211,2025,Odisha Pro T20 League 2025,Other t20
2564,2024,Pondicherry Premier League 2024,Other t20
3069,2025,Pondicherry Premier League 2025,Other t20
1955,2023,Punjab T20 2023,Other t20
2706,2024,Qatar T20 Pro League 2024,Other t20
2052,2023,Rajasthan Premier League 2023,Other t20
1441,2022,Saurashtra Premier League 2022,Other t20
1906,2023,Saurashtra Premier League T20 2023,Other t20
3033,2025,Saurashtra Pro T20 League 2025,Other t20
2478,2024,Sher-E-Punjab T20 series 2024,Other t20
3045,2025,Sher-E-Punjab T20 series 2025,Other t20
3034,2025,Snowlion T20 League (Sikkim) 2025,Other t20
2695,2024,South American Mens Championships 2024,Other t20
1192,2021,Tamil Nadu Premier League 2021,Other t20
1453,2022,Tamil Nadu Premier League 2022,Other t20
1818,2023,Tamil Nadu Premier League 2023,Other t20
2414,2024,Tamil Nadu Premier League 2024,Other t20
2798,2025,Tamil Nadu Premier League 2025,Other t20
2536,2024,Top End Series (Australia) 2024,Other t20
1866,2023,Trinidad T20 2023,Other t20
2418,2024,Trinidad T20 Series 2024,Other t20
2057,2023,Uttar Pradesh T20 2023,Other t20
2620,2024,Uttar Pradesh T20 League 2024,Other t20
3090,2025,Uttar Pradesh T20 League 2025,Other t20
2659,2024,Uttarakhand Men T20 Series 2024,Other t20
3215,2025,Uttarakhand Men T20 Series 2025,Other t20
1923,2023,Uttarakhand Premier League 2023,Other t20
3024,2025,Vidarbha Pro T20 League 2025,Other t20
3289,2025,Asia Cup Rising Stars 2025,t20
1048,2020/21,Bangabandhu T20 Cup 2020/21,t20
1337,2022,Bangladesh Premier League 2022,t20
1712,2023,Bangladesh Premier League 2023,t20
2223,2024,Bangladesh Premier League 2024,t20
2701,2025,Bangladesh Premier League 2025,t20
1056,2020/21,Big Bash League 2020/21,t20
1267,2021/22,Big Bash League 2021/22,t20
1686,2022,Big Bash League 2022,t20
1971,2023/24,Big Bash League 2023/24,t20
2545,2024/25,Big Bash League 2024/25,t20
3056,2025/26,Big Bash League 2025/26,t20
1136,2021,Caribbean Premier League 2021,t20
1390,2022,Caribbean Premier League 2022,t20
1825,2023,Caribbean Premier League 2023,t20
2412,2024,Caribbean Premier League 2024,t20
2909,2025,Caribbean Premier League 2025,t20
2737,2024,Global Super League 2024,t20
3023,2025,Global Super League 2025,t20
1085,2021,IPL 2021,t20
1358,2022,IPL 2022,t20
1715,2023,IPL 2023,t20
2193,2024,IPL 2024,t20
2725,2025,IPL 2025,t20
2172,2024,International League T20 2024,t20
2761,2025,International League T20 2025,t20
3148,2026,International League T20 2026,t20
1041,2020/21,Lanka Premier League 2020/21,t20
1305,2021/22,Lanka Premier League 2021/22,t20
1493,2022,Lanka Premier League 2022,t20
1968,2023,Lanka Premier League 2023,t20
2409,2024,Lanka Premier League 2024,t20
2835,2025,Major League Cricket 2025,t20
2670,2024,Mens T20 Emerging Teams Asia Cup 2024,t20
1077,2021,Pakistan Super League 2021,t20
1328,2022,Pakistan Super League 2022,t20
