player_id,player_name,bowling_type,bowling_hand,batting_type,batting_hand,date_of_birth,is_wicket_keeper,nationality
70456,Sandeep Khatri Chettri,Right-arm medium,R,Right-hand bat,R,,0,
70455,Dipendra Thapa,None,,Right-hand bat,R,24/01/02,1,
70454,Tek Rawat,None,,Right-hand bat,R,,0,
70453,Aditya Mehta,Right-arm medium,R,Right-hand bat,R,,0,
70452,Sachin Bhatt,Right-arm Leg-Break,R,Right-hand bat,R,,0,
70373,Kishanveer Kishanveer,Right-arm medium,R,Right-hand bat,R,,0,
70368,Priyanshu Barswal,Right-arm offbreak,R,Left-hand bat,L,29/11/02,0,India
70364,Sankalp Pathodiya,Right-arm medium,R,Right-hand bat,R,,0,
70356,Lincoln Lincoln,Right-arm offbreak,R,Right-hand bat,R,,0,
70354,Kshitiz Negi,Right-arm medium,R,Right-hand bat,R,,0,
70344,Aryan Garg,Left-arm medium,R,Right-hand bat,R,,0,
70343,Vikul Kousik,Right-arm medium,R,Right-hand bat,R,01/01/00,0,
70341,Satyajeet Sabat,Right-arm medium,R,Right-hand bat,R,,0,India
70329,Raaz Yadav,Slow left-arm orthodox,L,Left-hand bat,L,,0,India
70326,Josef Behera,Right-arm medium,R,Right-hand bat,R,,0,India
70311,Aryan Kapoor,Right-arm Leg-Break,R,Right-hand bat,R,,0,
70310,Parvv Verma,Right-arm medium,R,Right-hand bat,R,,0,
70309,Adi Khan,Left-arm medium,R,Right-hand bat,R,,0,
70308,Rahul Devnath,Right-arm medium,R,Right-hand bat,R,,0,
70307,Binay Singh Rawat,Right-arm medium,R,Right-hand bat,R,,0,
70306,Vanshaj Chauhan,Right-arm medium,R,Right-hand bat,R,,0,
70305,Jatin Sharma,Slow left-arm orthodox,R,Right-hand bat,R,,0,
70304,Abhishek Dafouti,Right-arm Leg-Break,R,Right-hand bat,R,20/11/04,0,
70303,Bhavya Deep Singh,Right-arm medium,R,Right-hand bat,R,,0,
70302,Yash Chaudhary,Right-arm Leg-Break,R,Right-hand bat,R,,0,
70301,Krish Sharma,Right-arm medium,R,Right-hand bat,R,,0,
70300,Hardik Brahmbhatt,Right-arm medium,R,Right-hand bat,R,,0,
70299,Jagdish Singh Koshyari,Right-arm Fast,R,Right-hand bat,R,,0,
70298,Ayush Deswal,Right-arm medium,R,Right-hand bat,R,,0,
70297,Aniket Malik,Right-arm medium,R,Right-hand bat,R,01/05/01,0,
70296,Sumit Panwar,Right-arm Leg-Break,L,Right-hand bat,R,02/09/93,0,
70295,Ansh Tyagi,Right-arm offbreak,R,Right-hand bat,R,,0,
